time	Satellite	SVclockBias	SVclockDrift	SVclockDriftRate	IODE	Crs	DeltaN	M0	Cuc	Eccentricity	Cus	sqrtA	Toe	Cic	Omega0	Cis	Io	Crc	omega	OmegaDot	IDOT	CodesL2	GPSWeek	L2Pflag	SVacc	health	TGD	IODC	TransTime	FitIntvl
2021-03-19 13:00:00	QZSS01	-0.0003564418293536	-3.4106051316480007e-12	0.0	81.0	-170.875	1.958295856597e-09	1.773235899056	-5.923211574554e-06	0.07491021929309	9.387731552124e-07	6492.994762421	478800.0	1.156702637672e-06	-0.5585226102629	1.650303602219e-06	0.7311186829649	147.71875	-1.571909493346	-1.729714906712e-09	-3.350139546759e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	849.0	475206.0	0.0
2021-03-19 14:00:00	QZSS01	-0.0003564544022083	-3.4106051316480007e-12	0.0	85.0	-188.34375	2.1390176701e-09	2.035826841594	-6.221234798431e-06	0.0749108948512	9.983777999878e-07	6492.991268158	482400.0	-4.004687070847e-07	-0.5585299307049	1.8160790205e-06	0.7311168221331	139.5625	-1.571927536977	-1.874363789061e-09	-5.243075537999e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	853.0	478806.0	0.0
2021-03-19 15:00:00	QZSS01	-0.0003564669750631	-3.4106051316480007e-12	0.0	89.0	-202.0625	2.388670926303e-09	2.298409828784	-6.372109055519e-06	0.07491139019839	8.866190910339e-07	6492.98956871	486000.0	-1.508742570877e-06	-0.5585391163675	8.698552846909e-07	0.731114288359	140.1875	-1.571935463067	-2.122588414327e-09	-6.368122400716e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	857.0	482406.0	0.0
2021-03-19 16:00:00	QZSS01	-0.0003564795479178	-3.4106051316480007e-12	0.0	93.0	-194.78125	2.821188942415e-09	2.560976055321	-6.038695573807e-06	0.07491021836177	7.990747690201e-07	6492.993080139	489600.0	-6.295740604401e-07	-0.5585550826555	-3.539025783539e-07	0.7311104218665	139.59375	-1.571921173284	-2.672254167255e-09	-3.621579424748e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	861.0	486006.0	0.0
2021-03-19 17:00:00	QZSS01	-0.0003564916551113	-3.4106051316480007e-12	0.0	97.0	-171.25	2.966194982498e-09	2.823535687023	-5.379319190979e-06	0.0749071239261	1.439824700356e-06	6493.000551224	493200.0	3.799796104431e-07	-0.5585707973215	-2.440065145493e-07	0.7311087658433	113.09375	-1.571901426815	-2.938336679231e-09	-5.50022910662e-11	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	865.0	489606.0	0.0
2021-03-19 18:00:00	QZSS01	-0.0003565042279661	-3.4106051316480007e-12	0.0	101.0	-156.78125	2.88119144176e-09	3.086101429335	-5.019828677177e-06	0.07490304240491	2.592802047729e-06	6493.009401321	496800.0	5.196779966354e-07	-0.558583002447	1.303851604462e-08	0.7311086268661	64.5625	-1.571891919311	-2.965837824764e-09	4.6430505445490005e-11	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	869.0	493206.0	0.0
2021-03-19 19:00:00	QZSS01	-0.0003565163351595	-3.4106051316480007e-12	0.0	105.0	-160.75	2.77654422564e-09	-2.93450899961	-5.103647708893e-06	0.07490005670115	3.410503268242e-06	6493.015733719	500400.0	4.265457391739e-07	-0.5585950422628	2.570450305939e-07	0.7311089545597	26.90625	-1.571893143773	-2.947979938054e-09	1.364342544629e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	873.0	496806.0	0.0
2021-03-19 20:00:00	QZSS01	-0.000356528442353	-3.4106051316480007e-12	0.0	109.0	-163.40625	2.600465462682e-09	-2.671936425471	-5.08688390255e-06	0.07489972480107	3.518536686897e-06	6493.016176224	504000.0	-3.613531589508e-07	-0.5586100444877	5.997717380524e-07	0.7311104116261	19.0625	-1.571890459318	-2.767258124551e-09	4.085884479203e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	877.0	500406.0	0.0
2021-03-19 21:00:00	QZSS01	-0.0003565410152078	-3.4106051316480007e-12	0.0	113.0	-142.34375	2.151518190797e-09	-2.409382594239	-4.429370164871e-06	0.07490215229336	3.384426236153e-06	6493.009441376	507600.0	-1.989305019379e-06	-0.5586286133069	-2.719461917877e-07	0.7311148311016	28.28125	-1.571865497547	-2.151161033063e-09	8.514640383235e-10	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	881.0	504006.0	0.0
2021-03-19 22:00:00	QZSS01	-0.0003565531224012	-3.4106051316480007e-12	0.0	117.0	-98.25	1.580422973818e-09	-2.146852506167	-3.237277269363e-06	0.0749057153007	3.647059202194e-06	6492.998281479	511200.0	-1.933425664902e-06	-0.5586439300592	-2.626329660416e-06	0.7311216161157	28.9375	-1.571817398264	-1.315411935044e-09	1.051829527207e-09	2.0	2149.0	0.0	2.8	0.0	-5.587935447693e-09	885.0	507606.0	0.0
