GPS,Epoch Time,x,y,z
GPS08,2009-06-30,-2262170.059118034,18621980.316409364,-19118338.52166373
GPS08,2009-06-30 01:59:44,3263427.2697596163,-25331504.65600768,-6261865.954356256
GPS08,2009-06-30 02:00:00,2069596.7996674706,-23332174.59891023,-12022781.759620035
GPS08,2009-06-30 03:59:44,-1111864.9158659675,25433251.486096825,-8498889.536279447
GPS08,2009-06-30 06:00:00,-8223241.918736721,-20620006.06889793,-14206601.444321197
GPS08,2009-06-30 08:00:00,-3966341.8975170306,18399947.023517564,-19038301.14380204
GPS08,2009-06-30 10:00:00,5993642.985880885,-13113147.014049472,22103378.397275895
GPS08,2009-06-30 12:00:00,-3640518.0986036723,22829192.790555455,-13591708.053076167
GPS08,2009-06-30 14:00:00,-3146947.324662013,26648463.416272,-665407.7328912243
GPS08,2009-06-30 16:00:00,9788653.995349811,-19313934.62580542,14967875.063882666
GPS08,2009-06-30 18:00:00,10529602.408314683,10782425.994501574,21958314.461767167
GPS08,2009-06-30 19:59:28,-4641839.76671708,-25811450.826680657,1651891.3858558668
GPS08,2009-06-30 20:00:00,-9208155.56508449,-18787644.295840275,-16049074.331289452
GPS08,2009-06-30 21:59:28,-689339.3599196454,-25928676.873853017,4205758.357908617
GPS09,2009-06-30,-2110339.378422061,-12205483.968038097,-24082041.891539935
GPS09,2009-06-30 02:00:00,10198581.110219683,-21687024.44594259,-12095712.20991708
GPS09,2009-06-30 04:00:00,-11129030.433701582,22917369.872419003,6757127.970421907
GPS09,2009-06-30 06:00:00,6367466.225388452,7822338.602438225,23989364.75498256
GPS09,2009-06-30 08:00:00,-11032486.160415808,-1820913.7557615316,-24694694.236857187
GPS09,2009-06-30 10:00:00,3800358.6608475056,26223336.160626587,-1430947.4224772013
GPS09,2009-06-30 12:00:00,-7928204.1397255445,25019943.278568983,3091455.02233781
GPS09,2009-06-30 13:59:44,-10958744.052917633,-6852281.73529245,-23827458.6401024
GPS09,2009-06-30 14:00:00,15832196.718096677,-3881863.642976242,20372241.77605657
GPS09,2009-06-30 15:59:44,-17259827.43429659,10622430.035879709,-17739441.78565781
GPS09,2009-06-30 18:00:00,7371969.805877165,19958970.926472444,15238595.188877886
GPS09,2009-06-30 20:00:00,2435649.5565216956,26392955.198396757,-105572.37100479577
GPS09,2009-06-30 22:00:00,-2257884.387444665,20524386.21739053,-17210805.030065984
GPS10,2009-06-30,10298626.822106622,24377806.271188475,3668385.9514266057
GPS10,2009-06-30 02:00:00,-17890829.2755265,-285871.64670486184,19370711.23811843
GPS10,2009-06-30 04:00:00,-13638265.982695032,10617872.868723886,20014111.540042516
GPS10,2009-06-30 06:00:00,111962.4220430168,-25286936.54602685,-7748802.747828379
GPS10,2009-06-30 08:00:00,19349792.298311617,-1719585.2847415274,-18340711.96794024
GPS10,2009-06-30 10:00:00,-17400915.30426286,-12139735.278921787,15608596.25422162
GPS10,2009-06-30 12:00:00,17581262.865246184,6175150.467904937,-19222208.878420904
GPS10,2009-06-30 14:00:00,5178395.975376724,-15115180.874463277,-21272008.323128816
GPS10,2009-06-30 15:59:44,769031.9986862234,-17702693.59408332,-19781559.70840844
GPS10,2009-06-30 16:00:00,12065134.278335795,1726652.9118021023,-23795413.200384557
